Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,TenureBand,IncomeQuartile,JobSatisfactionLabel,recruiting_pct_of_salary,onboarding_pct_of_salary,months_vacant,ramp_months,ramp_productivity_loss,annual_salary,cost_recruiting,cost_onboarding,cost_vacancy,cost_ramp,replacement_cost,replacement_cost_pct_salary
29,No,Travel_Rarely,153,Engineering,15,2,Life Sciences,15,4,Female,49,2,2,QA / Support Engineer,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0,7-10 yrs,Q2,3 High,0.2,0.1,2.0,3,0.5,50316,10063.2,5031.6,8386.0,6289.5,29770.300000000003,0.5916666666666667
31,No,Travel_Rarely,670,Engineering,26,1,Life Sciences,16,1,Male,31,3,1,Software Engineer,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,0,4-6 yrs,Q1 (lowest),3 High,0.2,0.1,1.5,3,0.5,34932,6986.400000000001,3493.2000000000003,4366.5,4366.5,19212.6,0.5499999999999999
34,No,Travel_Rarely,1346,Engineering,19,2,Medical,18,2,Male,93,3,1,QA / Support Engineer,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0,2-3 yrs,Q1 (lowest),4 Very High,0.2,0.1,1.5,3,0.5,31932,6386.400000000001,3193.2000000000003,3991.5,3991.5,17562.6,0.5499999999999999
28,Yes,Travel_Rarely,103,Engineering,24,3,Life Sciences,19,3,Male,50,2,1,QA / Support Engineer,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,1,4-6 yrs,Q1 (lowest),3 High,0.2,0.1,1.5,3,0.5,24336,4867.2,2433.6,3042.0,3042.0,13384.8,0.5499999999999999
29,No,Travel_Rarely,1389,Engineering,21,4,Life Sciences,20,2,Female,51,4,3,Platform / DevOps Lead,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,0,7-10 yrs,Q4 (highest),1 Low,0.2,0.1,2.5,4,0.5,119760,23952.0,11976.0,24950.0,19960.0,80838.0,0.675
32,No,Travel_Rarely,334,Engineering,5,2,Life Sciences,21,1,Male,80,4,1,Software Engineer,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0,4-6 yrs,Q2,2 Medium,0.2,0.1,1.5,3,0.5,39576,7915.200000000001,3957.6000000000004,4947.0,4947.0,21766.800000000003,0.55
22,No,Non-Travel,1123,Engineering,16,2,Medical,22,4,Male,96,4,1,QA / Support Engineer,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0,0-1 yr,Q2,4 Very High,0.2,0.1,1.5,3,0.5,35220,7044.0,3522.0,4402.5,4402.5,19371.0,0.55
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0,10+ yrs,Q4 (highest),4 Very High,0.2,0.1,3.0,6,0.5,185124,37024.8,18512.4,46281.0,46281.0,148099.2,0.8
38,No,Travel_Rarely,371,Engineering,2,3,Life Sciences,24,4,Male,45,3,1,Software Engineer,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0,2-3 yrs,Q2,4 Very High,0.2,0.1,1.5,3,0.5,47328,9465.6,4732.8,5916.0,5916.0,26030.4,0.55
24,No,Non-Travel,673,Engineering,11,2,Other,26,1,Female,96,4,2,Platform / DevOps Lead,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0,4-6 yrs,Q2,3 High,0.2,0.1,2.0,3,0.5,48132,9626.4,4813.2,8022.0,6016.5,28478.1,0.5916666666666667
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,1,4-6 yrs,Q2,1 Low,0.2,0.1,1.5,3,0.5,40884,8176.8,4088.4,5110.5,5110.5,22486.2,0.55
34,No,Travel_Rarely,419,Engineering,7,4,Life Sciences,28,1,Female,53,3,3,Engineering Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0,10+ yrs,Q4 (highest),2 Medium,0.2,0.1,2.5,4,0.5,143928,28785.600000000002,14392.800000000001,29985.0,23988.0,97151.4,0.6749999999999999
21,No,Travel_Rarely,391,Engineering,15,2,Life Sciences,30,3,Male,96,3,1,Software Engineer,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0,0-1 yr,Q1 (lowest),4 Very High,0.2,0.1,1.5,3,0.5,14784,2956.8,1478.4,1848.0,1848.0,8131.200000000001,0.55
34,Yes,Travel_Rarely,699,Engineering,6,1,Medical,31,2,Male,83,3,1,Software Engineer,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,1,4-6 yrs,Q2,1 Low,0.2,0.1,1.5,3,0.5,35520,7104.0,3552.0,4440.0,4440.0,19536.0,0.55
53,No,Travel_Rarely,1282,Engineering,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0,10+ yrs,Q4 (highest),3 High,0.2,0.1,4.0,6,0.5,229128,45825.600000000006,22912.800000000003,76376.0,57282.0,202396.40000000002,0.8833333333333334
32,Yes,Travel_Frequently,1125,Engineering,16,1,Life Sciences,33,2,Female,72,1,1,Software Engineer,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1,7-10 yrs,Q2,1 Low,0.2,0.1,1.5,3,0.5,47028,9405.6,4702.8,5878.5,5878.5,25865.4,0.55
42,No,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0,7-10 yrs,Q3,2 Medium,0.2,0.1,2.0,3,0.5,81900,16380.0,8190.0,13650.0,10237.5,48457.5,0.5916666666666667
44,No,Travel_Rarely,477,Engineering,7,4,Medical,36,1,Female,42,2,3,Solutions Consultant,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0,10+ yrs,Q4 (highest),4 Very High,0.2,0.1,2.5,4,0.5,122976,24595.2,12297.6,25620.0,20496.0,83008.8,0.675
46,No,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0,2-3 yrs,Q4 (highest),1 Low,0.2,0.1,4.0,6,0.5,227364,45472.8,22736.4,75788.0,56841.0,200838.2,0.8833333333333334
33,No,Travel_Rarely,924,Engineering,2,3,Medical,39,3,Male,78,3,1,QA / Support Engineer,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0,0-1 yr,Q1 (lowest),4 Very High,0.2,0.1,1.5,3,0.5,29952,5990.400000000001,2995.2000000000003,3744.0,3744.0,16473.6,0.5499999999999999
44,No,Travel_Rarely,1459,Engineering,10,4,Other,40,4,Male,41,3,2,Solutions Consultant,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0,4-6 yrs,Q3,4 Very High,0.2,0.1,2.0,3,0.5,77580,15516.0,7758.0,12930.0,9697.5,45901.5,0.5916666666666667
30,No,Travel_Rarely,125,Engineering,9,2,Medical,41,4,Male,83,2,1,QA / Support Engineer,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0,7-10 yrs,Q1 (lowest),3 High,0.2,0.1,1.5,3,0.5,26472,5294.400000000001,2647.2000000000003,3309.0,3309.0,14559.6,0.55
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,1,0-1 yr,Q1 (lowest),4 Very High,0.2,0.1,2.0,3,0.5,25032,5006.400000000001,2503.2000000000003,4172.0,3129.0,14810.6,0.5916666666666667
24,Yes,Travel_Rarely,813,Engineering,1,3,Medical,45,2,Male,61,3,1,Software Engineer,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,1,2-3 yrs,Q1 (lowest),4 Very High,0.2,0.1,1.5,3,0.5,27516,5503.200000000001,2751.6000000000004,3439.5,3439.5,15133.800000000001,0.55
43,No,Travel_Rarely,1273,Engineering,2,2,Medical,46,4,Female,72,4,1,Software Engineer,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0,4-6 yrs,Q1 (lowest),3 High,0.2,0.1,1.5,3,0.5,31740,6348.0,3174.0,3967.5,3967.5,17457.0,0.55
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1,2-3 yrs,Q1 (lowest),3 High,0.2,0.1,1.5,3,0.5,32196,6439.200000000001,3219.6000000000004,4024.5,4024.5,17707.800000000003,0.55
35,No,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0,2-3 yrs,Q1 (lowest),4 Very High,0.2,0.1,1.5,3,0.5,24168,4833.6,2416.8,3021.0,3021.0,13292.400000000001,0.55
36,No,Travel_Rarely,852,Engineering,5,4,Life Sciences,51,2,Female,82,2,1,Software Engineer,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0,0-1 yr,Q2,1 Low,0.2,0.1,1.5,3,0.5,41028,8205.6,4102.8,5128.5,5128.5,22565.4,0.55
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0,4-6 yrs,Q3,1 Low,0.2,0.1,2.0,3,0.5,64512,12902.400000000001,6451.200000000001,10752.0,8064.0,38169.600000000006,0.5916666666666668
35,No,Travel_Rarely,464,Engineering,4,2,Other,53,3,Male,75,3,1,QA / Support Engineer,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0,0-1 yr,Q1 (lowest),4 Very High,0.2,0.1,1.5,3,0.5,23412,4682.400000000001,2341.2000000000003,2926.5,2926.5,12876.6,0.55
27,No,Travel_Rarely,1240,Engineering,2,4,Life Sciences,54,4,Female,33,3,1,QA / Support Engineer,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0,0-1 yr,Q1 (lowest),1 Low,0.2,0.1,1.5,3,0.5,28092,5618.400000000001,2809.2000000000003,3511.5,3511.5,15450.6,0.55
26,Yes,Travel_Rarely,1357,Engineering,25,3,Life Sciences,55,1,Male,48,1,1,QA / Support Engineer,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,1,0-1 yr,Q1 (lowest),3 High,0.2,0.1,1.5,3,0.5,27516,5503.200000000001,2751.6000000000004,3439.5,3439.5,15133.800000000001,0.55
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0,7-10 yrs,Q4 (highest),3 High,0.2,0.1,2.5,4,0.5,104712,20942.4,10471.2,21815.0,17452.0,70680.6,0.675
30,No,Travel_Frequently,721,Engineering,1,2,Medical,57,3,Female,58,3,2,QA / Support Engineer,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0,10+ yrs,Q2,4 Very High,0.2,0.1,2.0,3,0.5,48132,9626.4,4813.2,8022.0,6016.5,28478.1,0.5916666666666667
41,Yes,Travel_Rarely,1360,Engineering,12,3,Technical Degree,58,2,Female,49,3,5,Engineering Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,1,10+ yrs,Q4 (highest),3 High,0.2,0.1,4.0,6,0.5,234540,46908.0,23454.0,78180.0,58635.0,207177.0,0.8833333333333333
34,No,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0,7-10 yrs,Q2,3 High,0.2,0.1,2.0,3,0.5,54816,10963.2,5481.6,9136.0,6852.0,32432.800000000003,0.5916666666666667
37,No,Travel_Rarely,408,Engineering,19,2,Life Sciences,61,2,Male,73,3,1,Software Engineer,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0,0-1 yr,Q2,2 Medium,0.2,0.1,1.5,3,0.5,36264,7252.8,3626.4,4533.0,4533.0,19945.2,0.55
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0,7-10 yrs,Q3,4 Very High,0.2,0.1,2.0,3,0.5,69264,13852.800000000001,6926.400000000001,11544.0,8658.0,40981.2,0.5916666666666667
35,No,Travel_Rarely,1229,Engineering,8,1,Life Sciences,63,4,Male,36,4,1,QA / Support Engineer,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0,0-1 yr,Q1 (lowest),4 Very High,0.2,0.1,1.5,3,0.5,27228,5445.6,2722.8,3403.5,3403.5,14975.400000000001,0.55
48,Yes,Travel_Rarely,626,Engineering,1,2,Life Sciences,64,1,Male,98,2,3,QA / Support Engineer,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,1,0-1 yr,Q3,3 High,0.2,0.1,2.5,4,0.5,64572,12914.400000000001,6457.200000000001,13452.5,10762.0,43586.100000000006,0.675
28,Yes,Travel_Rarely,1434,Engineering,5,4,Technical Degree,65,3,Male,50,3,1,QA / Support Engineer,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1,2-3 yrs,Q2,3 High,0.2,0.1,1.5,3,0.5,41292,8258.4,4129.2,5161.5,5161.5,22710.6,0.5499999999999999
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0,4-6 yrs,Q3,1 Low,0.2,0.1,2.0,3,0.5,65448,13089.6,6544.8,10908.0,8181.0,38723.4,0.5916666666666667
35,No,Non-Travel,1097,Engineering,11,2,Medical,70,3,Male,79,2,3,Solutions Consultant,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0,4-6 yrs,Q4 (highest),1 Low,0.2,0.1,2.5,4,0.5,118608,23721.600000000002,11860.800000000001,24710.0,19768.0,80060.4,0.6749999999999999
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0,2-3 yrs,Q2,4 Very High,0.2,0.1,2.0,3,0.5,49884,9976.800000000001,4988.400000000001,8314.0,6235.5,29514.7,0.5916666666666667
33,No,Travel_Frequently,515,Engineering,1,2,Life Sciences,73,1,Female,98,3,3,Engineering Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,0,10+ yrs,Q4 (highest),4 Very High,0.2,0.1,2.5,4,0.5,161496,32299.2,16149.6,33645.0,26916.0,109009.8,0.675
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0,7-10 yrs,Q4 (highest),1 Low,0.2,0.1,2.5,4,0.5,108828,21765.600000000002,10882.800000000001,22672.5,18138.0,73458.9,0.6749999999999999
35,No,Travel_Rarely,1142,Engineering,23,4,Medical,75,3,Female,30,3,1,QA / Support Engineer,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0,2-3 yrs,Q2,1 Low,0.2,0.1,1.5,3,0.5,48168,9633.6,4816.8,6021.0,6021.0,26492.4,0.55
31,No,Travel_Rarely,655,Engineering,7,4,Life Sciences,76,4,Male,48,3,2,QA / Support Engineer,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,0,7-10 yrs,Q3,4 Very High,0.2,0.1,2.0,3,0.5,70980,14196.0,7098.0,11830.0,8872.5,41996.5,0.5916666666666667
37,No,Travel_Rarely,1115,Engineering,1,4,Life Sciences,77,1,Male,51,2,2,Platform / DevOps Lead,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,0,7-10 yrs,Q3,3 High,0.2,0.1,2.0,3,0.5,71916,14383.2,7191.6,11986.0,8989.5,42550.3,0.5916666666666667
32,No,Travel_Rarely,427,Engineering,1,3,Medical,78,1,Male,33,3,2,Platform / DevOps Lead,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0,7-10 yrs,Q3,4 Very High,0.2,0.1,2.0,3,0.5,73944,14788.800000000001,7394.400000000001,12324.0,9243.0,43750.2,0.5916666666666667
38,No,Travel_Frequently,653,Engineering,29,5,Life Sciences,79,4,Female,50,3,2,QA / Support Engineer,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,0,7-10 yrs,Q1 (lowest),4 Very High,0.2,0.1,2.0,3,0.5,28872,5774.400000000001,2887.2000000000003,4812.0,3609.0,17082.6,0.5916666666666666
50,No,Travel_Rarely,989,Engineering,7,2,Medical,80,2,Female,43,2,5,Engineering Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0,10+ yrs,Q4 (highest),3 High,0.2,0.1,4.0,6,0.5,224880,44976.0,22488.0,74960.0,56220.0,198644.0,0.8833333333333333
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,0,10+ yrs,Q3,1 Low,0.2,0.1,2.5,4,0.5,91644,18328.8,9164.4,19092.5,15274.0,61859.7,0.6749999999999999
36,No,Travel_Rarely,1223,Engineering,8,3,Technical Degree,83,3,Female,59,3,3,Solutions Consultant,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,0,10+ yrs,Q4 (highest),3 High,0.2,0.1,2.5,4,0.5,121152,24230.4,12115.2,25240.0,20192.0,81777.6,0.675
55,No,Travel_Rarely,836,Engineering,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0,4-6 yrs,Q4 (highest),3 High,0.2,0.1,3.0,6,0.5,177072,35414.4,17707.2,44268.0,44268.0,141657.6,0.8
36,No,Travel_Frequently,1195,Engineering,11,3,Life Sciences,85,2,Male,95,2,2,Platform / DevOps Lead,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0,4-6 yrs,Q3,2 Medium,0.2,0.1,2.0,3,0.5,77988,15597.6,7798.8,12998.0,9748.5,46142.9,0.5916666666666667
45,No,Travel_Rarely,1339,Engineering,7,3,Life Sciences,86,2,Male,59,3,3,Software Engineer,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0,0-1 yr,Q4 (highest),1 Low,0.2,0.1,2.5,4,0.5,116688,23337.600000000002,11668.800000000001,24310.0,19448.0,78764.4,0.6749999999999999
35,No,Travel_Frequently,664,Engineering,1,3,Medical,88,2,Male,79,3,1,Software Engineer,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0,2-3 yrs,Q1 (lowest),1 Low,0.2,0.1,1.5,3,0.5,26328,5265.6,2632.8,3291.0,3291.0,14480.400000000001,0.55
36,Yes,Travel_Rarely,318,Engineering,9,3,Medical,90,4,Male,79,2,1,Software Engineer,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1,0-1 yr,Q2,3 High,0.2,0.1,1.5,3,0.5,40656,8131.200000000001,4065.6000000000004,5082.0,5082.0,22360.800000000003,0.55
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0,4-6 yrs,Q3,3 High,0.2,0.1,2.0,3,0.5,65676,13135.2,6567.6,10946.0,8209.5,38858.3,0.5916666666666667
29,No,Travel_Rarely,1328,Engineering,2,3,Life Sciences,94,3,Male,76,3,1,Software Engineer,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,0,4-6 yrs,Q1 (lowest),2 Medium,0.2,0.1,1.5,3,0.5,32436,6487.200000000001,3243.6000000000004,4054.5,4054.5,17839.800000000003,0.55
31,No,Travel_Rarely,1082,Engineering,1,4,Medical,95,3,Male,87,3,1,Software Engineer,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,0,0-1 yr,Q1 (lowest),2 Medium,0.2,0.1,1.5,3,0.5,30012,6002.400000000001,3001.2000000000003,3751.5,3751.5,16506.6,0.5499999999999999
32,No,Travel_Rarely,548,Engineering,1,3,Life Sciences,96,2,Male,66,3,2,Software Engineer,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,0,7-10 yrs,Q3,2 Medium,0.2,0.1,2.0,3,0.5,74640,14928.0,7464.0,12440.0,9330.0,44162.0,0.5916666666666667
36,No,Travel_Rarely,132,Engineering,6,3,Life Sciences,97,2,Female,55,4,1,QA / Support Engineer,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0,0-1 yr,Q2,4 Very High,0.2,0.1,1.5,3,0.5,36456,7291.200000000001,3645.6000000000004,4557.0,4557.0,20050.800000000003,0.55
31,No,Travel_Rarely,746,Engineering,8,4,Life Sciences,98,3,Female,61,3,2,Platform / DevOps Lead,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,0,10+ yrs,Q2,4 Very High,0.2,0.1,2.0,3,0.5,53088,10617.6,5308.8,8848.0,6636.0,31410.4,0.5916666666666667
35,No,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,0,10+ yrs,Q2,1 Low,0.2,0.1,2.0,3,0.5,51744,10348.800000000001,5174.400000000001,8624.0,6468.0,30615.2,0.5916666666666667
45,No,Travel_Rarely,193,Engineering,6,4,Other,101,4,Male,52,3,3,Engineering Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0,0-1 yr,Q4 (highest),1 Low,0.2,0.1,2.5,4,0.5,158940,31788.0,15894.0,33112.5,26490.0,107284.5,0.675
37,No,Travel_Rarely,397,Engineering,7,4,Medical,102,1,Male,30,3,3,Engineering Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0,4-6 yrs,Q4 (highest),3 High,0.2,0.1,2.5,4,0.5,163968,32793.6,16396.8,34160.0,27328.0,110678.4,0.6749999999999999
