employee_number,age,department,job_role,job_level,business_travel,overtime,marital_status,gender,monthly_income,years_at_company,tenure_band,income_quartile,job_satisfaction_label,attrition_flag,replacement_cost,replacement_cost_pct_salary
63,35,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,2269.0,1,0-1 yr,Q1 (lowest),4 Very High,0,14975.400000000001,0.55
64,48,Engineering,QA / Support Engineer,3,Travel_Rarely,true,Single,Male,5381.0,1,0-1 yr,Q3,3 High,1,43586.100000000006,0.675
65,28,Engineering,QA / Support Engineer,1,Travel_Rarely,true,Single,Male,3441.0,2,2-3 yrs,Q2,3 High,1,22710.6,0.5499999999999999
68,44,Sales,Sales Executive,2,Travel_Rarely,true,Divorced,Female,5454.0,4,4-6 yrs,Q3,1 Low,0,38723.4,0.5916666666666667
70,35,Engineering,Solutions Consultant,3,Non-Travel,true,Married,Male,9884.0,4,4-6 yrs,Q4 (highest),1 Low,0,80060.4,0.6749999999999999
72,26,Sales,Sales Executive,2,Travel_Rarely,true,Married,Female,4157.0,2,2-3 yrs,Q2,4 Very High,0,29514.7,0.5916666666666667
73,33,Engineering,Engineering Director,3,Travel_Frequently,true,Single,Female,13458.0,15,10+ yrs,Q4 (highest),4 Very High,0,109009.8,0.675
74,35,Sales,Sales Executive,3,Travel_Frequently,false,Married,Male,9069.0,9,7-10 yrs,Q4 (highest),1 Low,0,73458.9,0.6749999999999999
75,35,Engineering,QA / Support Engineer,1,Travel_Rarely,true,Married,Female,4014.0,2,2-3 yrs,Q2,1 Low,0,26492.4,0.55
76,31,Engineering,QA / Support Engineer,2,Travel_Rarely,false,Divorced,Male,5915.0,7,7-10 yrs,Q3,4 Very High,0,41996.5,0.5916666666666667
77,37,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Divorced,Male,5993.0,7,7-10 yrs,Q3,3 High,0,42550.3,0.5916666666666667
78,32,Engineering,Platform / DevOps Lead,2,Travel_Rarely,true,Married,Male,6162.0,9,7-10 yrs,Q3,4 Very High,0,43750.2,0.5916666666666667
79,38,Engineering,QA / Support Engineer,2,Travel_Frequently,false,Single,Female,2406.0,10,7-10 yrs,Q1 (lowest),4 Very High,0,17082.6,0.5916666666666666
80,50,Engineering,Engineering Director,5,Travel_Rarely,true,Divorced,Female,18740.0,27,10+ yrs,Q4 (highest),3 High,0,198644.0,0.8833333333333333
81,59,Sales,Sales Executive,3,Travel_Rarely,false,Single,Female,7637.0,21,10+ yrs,Q3,1 Low,0,61859.7,0.6749999999999999
83,36,Engineering,Solutions Consultant,3,Travel_Rarely,false,Divorced,Female,10096.0,17,10+ yrs,Q4 (highest),3 High,0,81777.6,0.675
84,55,Engineering,Manager,4,Travel_Rarely,true,Divorced,Female,14756.0,5,4-6 yrs,Q4 (highest),3 High,0,141657.6,0.8
85,36,Engineering,Platform / DevOps Lead,2,Travel_Frequently,false,Single,Male,6499.0,6,4-6 yrs,Q3,2 Medium,0,46142.9,0.5916666666666667
86,45,Engineering,Software Engineer,3,Travel_Rarely,false,Divorced,Male,9724.0,1,0-1 yr,Q4 (highest),1 Low,0,78764.4,0.6749999999999999
88,35,Engineering,Software Engineer,1,Travel_Frequently,false,Married,Male,2194.0,3,2-3 yrs,Q1 (lowest),1 Low,0,14480.400000000001,0.55
90,36,Engineering,Software Engineer,1,Travel_Rarely,true,Married,Male,3388.0,1,0-1 yr,Q2,3 High,1,22360.800000000003,0.55
91,59,Sales,Sales Executive,2,Travel_Frequently,false,Single,Female,5473.0,4,4-6 yrs,Q3,3 High,0,38858.3,0.5916666666666667
94,29,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Male,2703.0,5,4-6 yrs,Q1 (lowest),2 Medium,0,17839.800000000003,0.55
95,31,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,2501.0,1,0-1 yr,Q1 (lowest),2 Medium,0,16506.6,0.5499999999999999
96,32,Engineering,Software Engineer,2,Travel_Rarely,false,Married,Male,6220.0,10,7-10 yrs,Q3,2 Medium,0,44162.0,0.5916666666666667
97,36,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Female,3038.0,1,0-1 yr,Q2,4 Very High,0,20050.800000000003,0.55
98,31,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Single,Female,4424.0,11,10+ yrs,Q2,4 Very High,0,31410.4,0.5916666666666667
100,35,Sales,Sales Executive,2,Travel_Rarely,false,Single,Male,4312.0,15,10+ yrs,Q2,1 Low,0,30615.2,0.5916666666666667
101,45,Engineering,Engineering Director,3,Travel_Rarely,true,Married,Male,13245.0,0,0-1 yr,Q4 (highest),1 Low,0,107284.5,0.675
102,37,Engineering,Engineering Director,3,Travel_Rarely,false,Single,Male,13664.0,5,4-6 yrs,Q4 (highest),3 High,0,110678.4,0.6749999999999999
103,46,Human Resources,Human Resources,2,Travel_Rarely,true,Divorced,Male,5021.0,4,4-6 yrs,Q3,2 Medium,0,35649.100000000006,0.5916666666666668
104,30,Engineering,QA / Support Engineer,2,Travel_Rarely,true,Married,Male,5126.0,10,7-10 yrs,Q3,4 Very High,0,36394.600000000006,0.5916666666666668
105,35,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,2859.0,6,4-6 yrs,Q1 (lowest),3 High,0,18869.4,0.55
106,55,Sales,Sales Executive,3,Travel_Rarely,false,Married,Male,10239.0,1,0-1 yr,Q4 (highest),4 Very High,0,82935.9,0.6749999999999999
107,38,Engineering,Software Engineer,2,Non-Travel,true,Divorced,Female,5329.0,13,10+ yrs,Q3,4 Very High,0,37835.9,0.5916666666666667
110,34,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Married,Male,4325.0,5,4-6 yrs,Q2,2 Medium,0,30707.5,0.5916666666666667
112,56,Engineering,Platform / DevOps Lead,3,Travel_Rarely,false,Single,Male,7260.0,6,4-6 yrs,Q3,4 Very High,0,58806.0,0.675
113,23,Sales,Sales Representative,1,Travel_Rarely,false,Divorced,Male,2322.0,0,0-1 yr,Q1 (lowest),1 Low,0,15325.2,0.55
116,51,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,2075.0,4,4-6 yrs,Q1 (lowest),4 Very High,0,13695.0,0.55
117,30,Engineering,Solutions Consultant,2,Travel_Rarely,false,Married,Male,4152.0,11,10+ yrs,Q2,4 Very High,0,29479.2,0.5916666666666667
118,46,Sales,Sales Executive,3,Travel_Rarely,false,Single,Male,9619.0,9,7-10 yrs,Q4 (highest),4 Very High,1,77913.9,0.6749999999999999
119,40,Engineering,Solutions Consultant,4,Travel_Frequently,false,Married,Male,13503.0,22,10+ yrs,Q4 (highest),2 Medium,0,129628.8,0.8
120,51,Sales,Sales Executive,2,Travel_Rarely,true,Single,Male,5441.0,10,7-10 yrs,Q3,4 Very High,0,38631.100000000006,0.5916666666666668
121,30,Sales,Sales Executive,2,Travel_Rarely,true,Divorced,Female,5209.0,11,10+ yrs,Q3,2 Medium,0,36983.9,0.5916666666666667
124,46,Engineering,Solutions Consultant,3,Travel_Frequently,true,Married,Male,10673.0,10,7-10 yrs,Q4 (highest),1 Low,0,86451.3,0.675
125,32,Sales,Sales Executive,2,Travel_Rarely,false,Single,Male,5010.0,11,10+ yrs,Q3,3 High,0,35571.0,0.5916666666666667
126,54,Engineering,Engineering Director,3,Travel_Rarely,false,Married,Female,13549.0,4,4-6 yrs,Q4 (highest),3 High,0,109746.9,0.6749999999999999
128,24,Sales,Sales Executive,2,Travel_Rarely,false,Married,Female,4999.0,3,2-3 yrs,Q3,3 High,0,35492.9,0.5916666666666667
129,28,Sales,Sales Executive,2,Non-Travel,false,Married,Male,4221.0,5,4-6 yrs,Q2,3 High,0,29969.100000000002,0.5916666666666667
131,58,Sales,Sales Executive,4,Travel_Rarely,false,Single,Male,13872.0,37,10+ yrs,Q4 (highest),3 High,0,133171.2,0.8
132,44,Engineering,QA / Support Engineer,2,Non-Travel,false,Married,Male,2042.0,3,2-3 yrs,Q1 (lowest),2 Medium,0,14498.2,0.5916666666666667
133,37,Human Resources,Human Resources,1,Travel_Rarely,true,Divorced,Male,2073.0,3,2-3 yrs,Q1 (lowest),1 Low,1,13681.800000000001,0.55
134,32,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,2956.0,1,0-1 yr,Q2,1 Low,0,19509.6,0.5499999999999999
137,20,Engineering,QA / Support Engineer,1,Travel_Frequently,true,Single,Female,2926.0,1,0-1 yr,Q2,4 Very High,1,19311.6,0.5499999999999999
138,34,Engineering,Software Engineer,2,Travel_Rarely,false,Single,Female,4809.0,16,10+ yrs,Q2,3 High,0,34143.9,0.5916666666666667
139,37,Engineering,Solutions Consultant,2,Non-Travel,false,Divorced,Male,5163.0,1,0-1 yr,Q3,4 Very High,0,36657.3,0.5916666666666667
140,59,Human Resources,Manager,5,Non-Travel,false,Married,Female,18844.0,3,2-3 yrs,Q4 (highest),4 Very High,0,199746.40000000002,0.8833333333333334
141,50,Engineering,Engineering Director,5,Travel_Frequently,true,Married,Female,18172.0,8,7-10 yrs,Q4 (highest),2 Medium,0,192623.2,0.8833333333333334
142,25,Sales,Sales Executive,2,Travel_Rarely,true,Single,Male,5744.0,6,4-6 yrs,Q3,3 High,1,40782.4,0.5916666666666667
143,25,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Male,2889.0,2,2-3 yrs,Q1 (lowest),4 Very High,0,19067.4,0.55
144,22,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Female,2871.0,0,0-1 yr,Q1 (lowest),4 Very High,0,18948.6,0.5499999999999999
145,51,Engineering,Solutions Consultant,3,Travel_Frequently,false,Single,Female,7484.0,13,10+ yrs,Q3,1 Low,0,60620.4,0.675
147,34,Engineering,QA / Support Engineer,2,Travel_Frequently,true,Single,Male,6074.0,9,7-10 yrs,Q3,3 High,1,43125.4,0.5916666666666667
148,54,Human Resources,Manager,4,Non-Travel,true,Single,Female,17328.0,5,4-6 yrs,Q4 (highest),4 Very High,0,166348.8,0.7999999999999999
150,24,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,2774.0,5,4-6 yrs,Q1 (lowest),3 High,0,18308.4,0.55
151,34,Engineering,Software Engineer,2,Travel_Rarely,false,Divorced,Female,4505.0,1,0-1 yr,Q2,2 Medium,0,31985.5,0.5916666666666667
152,37,Sales,Sales Executive,3,Travel_Rarely,false,Single,Male,7428.0,5,4-6 yrs,Q3,4 Very High,0,60166.8,0.675
153,34,Engineering,Manager,3,Travel_Rarely,false,Single,Female,11631.0,11,10+ yrs,Q4 (highest),1 Low,0,94211.1,0.675
154,36,Sales,Sales Executive,3,Travel_Frequently,false,Married,Female,9738.0,9,7-10 yrs,Q4 (highest),4 Very High,0,78877.8,0.675
155,36,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Divorced,Female,2835.0,1,0-1 yr,Q1 (lowest),4 Very High,0,18711.0,0.55
158,43,Sales,Manager,4,Travel_Frequently,true,Married,Male,16959.0,25,10+ yrs,Q4 (highest),4 Very High,0,162806.40000000002,0.8000000000000002
159,30,Engineering,Software Engineer,1,Travel_Frequently,false,Divorced,Male,2613.0,10,7-10 yrs,Q1 (lowest),3 High,0,17245.800000000003,0.55
160,33,Sales,Sales Executive,2,Non-Travel,false,Married,Male,6146.0,7,7-10 yrs,Q3,2 Medium,0,43636.600000000006,0.5916666666666668
161,56,Engineering,Software Engineer,1,Travel_Rarely,true,Married,Female,4963.0,5,4-6 yrs,Q3,2 Medium,1,32755.800000000003,0.55
162,51,Engineering,Engineering Director,5,Travel_Rarely,false,Single,Male,19537.0,20,10+ yrs,Q4 (highest),3 High,0,207092.2,0.8833333333333334
163,31,Sales,Sales Executive,2,Travel_Rarely,true,Married,Male,6172.0,7,7-10 yrs,Q3,3 High,1,43821.2,0.5916666666666667
164,26,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Female,2368.0,5,4-6 yrs,Q1 (lowest),2 Medium,0,15628.800000000001,0.55
165,58,Engineering,Solutions Consultant,3,Travel_Rarely,false,Married,Female,10312.0,40,10+ yrs,Q4 (highest),4 Very High,1,83527.20000000001,0.675
167,19,Sales,Sales Representative,1,Travel_Rarely,true,Single,Male,1675.0,0,0-1 yr,Q1 (lowest),3 High,1,11055.0,0.55
169,22,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,2523.0,2,2-3 yrs,Q1 (lowest),4 Very High,0,16651.800000000003,0.55
170,49,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Married,Female,6567.0,15,10+ yrs,Q3,1 Low,0,46625.7,0.5916666666666667
171,43,Engineering,Software Engineer,1,Travel_Frequently,false,Single,Female,4739.0,3,2-3 yrs,Q2,3 High,0,31277.4,0.55
174,50,Sales,Sales Executive,3,Travel_Frequently,false,Single,Female,9208.0,2,2-3 yrs,Q4 (highest),4 Very High,0,74584.8,0.675
175,31,Sales,Sales Executive,2,Travel_Rarely,true,Married,Female,4559.0,2,2-3 yrs,Q2,3 High,1,32368.9,0.5916666666666667
176,41,Sales,Sales Executive,3,Travel_Rarely,true,Divorced,Male,8189.0,9,7-10 yrs,Q3,3 High,0,66330.9,0.6749999999999999
177,26,Human Resources,Human Resources,1,Travel_Rarely,false,Married,Female,2942.0,8,7-10 yrs,Q2,3 High,0,19417.2,0.55
178,36,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Divorced,Male,4941.0,3,2-3 yrs,Q3,2 Medium,0,35081.100000000006,0.5916666666666668
179,51,Engineering,Platform / DevOps Lead,3,Travel_Frequently,false,Single,Male,10650.0,4,4-6 yrs,Q4 (highest),4 Very High,1,86265.0,0.675
182,39,Sales,Sales Executive,2,Travel_Rarely,false,Married,Female,5902.0,15,10+ yrs,Q3,3 High,0,41904.2,0.5916666666666667
183,25,Sales,Sales Executive,2,Travel_Rarely,false,Married,Male,8639.0,2,2-3 yrs,Q4 (highest),3 High,0,61336.9,0.5916666666666667
184,30,Human Resources,Human Resources,2,Travel_Rarely,true,Married,Male,6347.0,11,10+ yrs,Q3,4 Very High,0,45063.7,0.5916666666666667
190,32,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Female,4200.0,5,4-6 yrs,Q2,1 Low,1,27720.0,0.55
192,45,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,3452.0,6,4-6 yrs,Q2,4 Very High,0,22783.2,0.55
193,38,Engineering,Software Engineer,2,Travel_Rarely,true,Single,Female,4317.0,3,2-3 yrs,Q2,3 High,0,30650.7,0.5916666666666667
194,30,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Female,2632.0,5,4-6 yrs,Q1 (lowest),3 High,0,17371.2,0.55
195,32,Sales,Sales Executive,2,Travel_Frequently,false,Divorced,Male,4668.0,8,7-10 yrs,Q2,4 Very High,0,33142.8,0.5916666666666667
197,30,Engineering,Software Engineer,1,Travel_Rarely,false,Divorced,Female,3204.0,3,2-3 yrs,Q2,1 Low,0,21146.4,0.55
198,30,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Male,2720.0,5,4-6 yrs,Q1 (lowest),4 Very High,0,17952.0,0.55
199,41,Engineering,Manager,4,Travel_Frequently,false,Divorced,Male,17181.0,7,7-10 yrs,Q4 (highest),1 Low,0,164937.6,0.8
200,41,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,2238.0,5,4-6 yrs,Q1 (lowest),1 Low,0,14770.800000000001,0.55
201,19,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Female,1483.0,1,0-1 yr,Q1 (lowest),2 Medium,0,9787.8,0.5499999999999999
202,40,Engineering,Software Engineer,2,Travel_Frequently,false,Divorced,Female,5605.0,20,10+ yrs,Q3,2 Medium,0,39795.5,0.5916666666666667
204,35,Sales,Sales Executive,3,Travel_Rarely,false,Married,Male,7295.0,10,7-10 yrs,Q3,2 Medium,0,59089.5,0.675
205,53,Sales,Sales Representative,2,Travel_Rarely,true,Married,Male,2306.0,7,7-10 yrs,Q1 (lowest),3 High,0,16372.6,0.5916666666666667
206,45,Engineering,QA / Support Engineer,2,Travel_Rarely,false,Divorced,Male,2348.0,17,10+ yrs,Q1 (lowest),2 Medium,0,16670.800000000003,0.5916666666666668
207,32,Sales,Sales Executive,3,Travel_Frequently,false,Single,Female,8998.0,9,7-10 yrs,Q4 (highest),4 Very High,0,72883.8,0.675
208,29,Engineering,Platform / DevOps Lead,2,Non-Travel,false,Married,Male,4319.0,10,7-10 yrs,Q2,3 High,0,30664.9,0.5916666666666667
211,51,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Married,Male,6132.0,1,0-1 yr,Q3,3 High,0,43537.2,0.5916666666666667
214,58,Engineering,Software Engineer,1,Travel_Rarely,true,Married,Female,3346.0,1,0-1 yr,Q2,2 Medium,0,22083.6,0.5499999999999999
215,40,Sales,Sales Executive,3,Travel_Rarely,false,Married,Male,10855.0,12,10+ yrs,Q4 (highest),4 Very High,0,87925.5,0.675
216,34,Sales,Sales Representative,1,Travel_Frequently,false,Married,Female,2231.0,4,4-6 yrs,Q1 (lowest),3 High,0,14724.6,0.55
217,22,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Male,2323.0,2,2-3 yrs,Q1 (lowest),4 Very High,0,15331.800000000001,0.55
218,27,Engineering,Software Engineer,1,Non-Travel,false,Divorced,Male,2024.0,2,2-3 yrs,Q1 (lowest),2 Medium,0,13358.400000000001,0.55
221,28,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Male,2713.0,5,4-6 yrs,Q1 (lowest),4 Very High,0,17905.800000000003,0.55
223,57,Engineering,Solutions Consultant,3,Travel_Rarely,true,Divorced,Male,9439.0,5,4-6 yrs,Q4 (highest),4 Very High,0,76455.9,0.6749999999999999
224,27,Engineering,Software Engineer,1,Non-Travel,true,Divorced,Male,2566.0,1,0-1 yr,Q1 (lowest),3 High,0,16935.6,0.5499999999999999
226,50,Engineering,Manager,5,Travel_Rarely,false,Single,Female,19926.0,5,4-6 yrs,Q4 (highest),2 Medium,0,211215.6,0.8833333333333333
227,41,Engineering,Software Engineer,1,Travel_Rarely,false,Divorced,Male,2451.0,9,7-10 yrs,Q1 (lowest),3 High,0,16176.6,0.55
228,30,Sales,Sales Executive,3,Travel_Rarely,false,Married,Female,9419.0,10,7-10 yrs,Q4 (highest),4 Very High,0,76293.9,0.6749999999999999
230,38,Sales,Sales Executive,2,Travel_Rarely,false,Single,Female,8686.0,8,7-10 yrs,Q4 (highest),4 Very High,0,61670.600000000006,0.5916666666666667
231,32,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,3038.0,5,4-6 yrs,Q2,3 High,0,20050.800000000003,0.55
233,27,Engineering,Software Engineer,1,Travel_Rarely,true,Married,Male,3058.0,5,4-6 yrs,Q2,2 Medium,0,20182.800000000003,0.55
235,19,Sales,Sales Representative,1,Travel_Frequently,false,Single,Female,2325.0,0,0-1 yr,Q1 (lowest),1 Low,1,15345.0,0.55
238,36,Engineering,QA / Support Engineer,1,Travel_Frequently,false,Single,Male,2088.0,8,7-10 yrs,Q1 (lowest),2 Medium,0,13780.800000000001,0.55
239,30,Engineering,QA / Support Engineer,2,Non-Travel,false,Divorced,Male,3072.0,12,10+ yrs,Q2,1 Low,0,21811.2,0.5916666666666667
240,45,Sales,Sales Executive,2,Travel_Rarely,true,Divorced,Female,5006.0,5,4-6 yrs,Q3,1 Low,0,35542.600000000006,0.5916666666666668
241,56,Engineering,Software Engineer,1,Travel_Rarely,true,Divorced,Female,4257.0,2,2-3 yrs,Q2,1 Low,0,28096.2,0.55
242,33,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,2500.0,3,2-3 yrs,Q1 (lowest),4 Very High,0,16500.0,0.55
243,19,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Male,1102.0,1,0-1 yr,Q1 (lowest),4 Very High,1,7273.200000000001,0.55
244,46,Sales,Sales Executive,3,Travel_Rarely,false,Divorced,Female,10453.0,24,10+ yrs,Q4 (highest),1 Low,0,84669.3,0.675
245,38,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Female,2288.0,2,2-3 yrs,Q1 (lowest),4 Very High,0,15100.800000000001,0.55
